date,direction,entry,target_or_stop,exit_date,exit,ticks,cumulative_profit
2007-12-11T09:00:00,long,1.47222,stopped,2007-12-11T12:00:00,1.46949,-55,-55
2007-12-11T23:00:00,short,1.46547,stopped,2007-12-12T07:00:00,1.46712,-33,-88
2007-12-20T17:00:00,short,1.43450,stopped,2007-12-21T08:00:00,1.43756,-61,-149
2007-12-24T17:00:00,long,1.44028,target,2007-12-26T08:00:00,1.44128,20,-129
2008-01-24T14:00:00,long,1.46645,target,2008-01-24T16:00:00,1.46905,52,-77
2008-01-31T08:00:00,long,1.48805,stopped,2008-01-31T10:00:00,1.48485,-64,-141
2008-02-01T20:00:00,short,1.48135,target,2008-02-01T21:00:00,1.48015,24,-117
2008-02-18T16:00:00,short,1.46478,stopped,2008-02-19T07:00:00,1.46749,-54,-171
2008-02-21T06:00:00,long,1.47150,target,2008-02-21T09:00:00,1.47344,39,-132
2008-02-21T09:00:00,long,1.47212,target,2008-02-21T11:00:00,1.47479,53,-79
2008-02-22T13:00:00,long,1.48350,stopped,2008-02-22T14:00:00,1.48291,-12,-91
2008-02-22T15:00:00,long,1.48248,target,2008-02-22T16:00:00,1.48608,72,-19
2008-02-22T23:00:00,long,1.48265,stopped,2008-02-25T05:00:00,1.48141,-25,-44
2008-03-12T16:00:00,long,1.54649,target,2008-03-12T17:00:00,1.55046,79,35
2008-03-14T07:00:00,long,1.56324,stopped,2008-03-14T08:00:00,1.56144,-36,-1
2008-03-19T00:00:00,short,1.56380,stopped,2008-03-19T02:00:00,1.56639,-52,-53
2008-04-30T12:00:00,short,1.55544,target,2008-04-30T15:00:00,1.55245,60,7
2008-04-30T15:00:00,short,1.55588,stopped,2008-04-30T21:00:00,1.56008,-84,-77
2008-04-30T21:00:00,short,1.56366,target,2008-05-01T10:00:00,1.55382,197,120
2008-05-01T12:00:00,short,1.55286,target,2008-05-01T15:00:00,1.54950,67,187
2008-05-08T15:00:00,short,1.53814,stopped,2008-05-09T09:00:00,1.54508,-139,48
2008-05-27T13:00:00,short,1.57594,target,2008-05-27T16:00:00,1.57344,50,98
2008-06-02T12:00:00,long,1.55541,stopped,2008-06-02T13:00:00,1.55402,-28,70
2008-06-30T06:00:00,long,1.57855,target,2008-06-30T09:00:00,1.57945,18,88
2008-06-30T17:00:00,long,1.57556,target,2008-07-01T13:00:00,1.57945,78,166
2008-07-03T10:00:00,long,1.58663,target,2008-07-03T13:00:00,1.58910,50,216
2008-07-04T12:00:00,short,1.56960,target,2008-07-04T14:00:00,1.56802,32,248
2008-07-07T13:00:00,short,1.56648,target,2008-07-07T16:00:00,1.56273,75,323
2008-07-09T17:00:00,long,1.57315,stopped,2008-07-09T18:00:00,1.57157,-32,291
2008-07-22T04:00:00,long,1.59245,target,2008-07-22T06:00:00,1.59355,22,313
2008-07-22T06:00:00,long,1.59249,stopped,2008-07-22T08:00:00,1.59136,-23,290
2008-07-22T11:00:00,long,1.59224,stopped,2008-07-22T12:00:00,1.59104,-24,266
2008-07-25T09:00:00,long,1.57106,stopped,2008-07-25T11:00:00,1.56913,-39,227
2008-07-25T20:00:00,long,1.56912,target,2008-07-28T06:00:00,1.57211,60,287
2008-07-28T22:00:00,long,1.57424,stopped,2008-07-29T09:00:00,1.57321,-21,266
2008-08-13T10:00:00,long,1.49365,stopped,2008-08-13T13:00:00,1.48929,-87,179
2008-08-19T01:00:00,short,1.46875,target,2008-08-19T08:00:00,1.46667,42,221
2008-08-19T12:00:00,short,1.46684,stopped,2008-08-19T13:00:00,1.46920,-47,174
2008-08-22T00:00:00,long,1.48969,stopped,2008-08-22T01:00:00,1.48860,-22,152
2008-08-27T15:00:00,long,1.47209,target,2008-08-28T04:00:00,1.47770,112,264
2008-08-28T16:00:00,long,1.47698,stopped,2008-08-28T17:00:00,1.47295,-81,183
2008-09-08T13:00:00,short,1.42212,target,2008-09-08T18:00:00,1.41652,112,295
2008-09-12T05:00:00,long,1.39900,target,2008-09-12T08:00:00,1.40139,48,343
2008-09-16T21:00:00,short,1.41527,stopped,2008-09-17T09:00:00,1.42322,-159,184
2008-10-01T16:00:00,short,1.40255,stopped,2008-10-01T20:00:00,1.40770,-103,81
2008-10-08T15:00:00,long,1.36419,target,2008-10-08T21:00:00,1.37444,205,286
2008-10-08T21:00:00,long,1.36800,stopped,2008-10-09T03:00:00,1.36063,-147,139
2008-10-14T03:00:00,long,1.36392,target,2008-10-14T05:00:00,1.36872,96,235
2008-10-14T05:00:00,long,1.36788,stopped,2008-10-14T06:00:00,1.36662,-25,210
2008-10-14T19:00:00,long,1.36504,target,2008-10-14T20:00:00,1.36855,70,280
2008-10-15T16:00:00,short,1.35950,stopped,2008-10-15T17:00:00,1.36323,-75,205
2008-10-23T15:00:00,short,1.28303,stopped,2008-10-23T23:00:00,1.29264,-192,13
2008-11-12T01:00:00,short,1.25125,stopped,2008-11-12T02:00:00,1.25494,-74,-61
2008-11-12T13:00:00,short,1.25745,target,2008-11-12T14:00:00,1.25060,137,76
2008-11-12T17:00:00,short,1.25214,target,2008-11-12T18:00:00,1.24731,97,173
2008-11-12T18:00:00,short,1.25561,target,2008-11-13T00:00:00,1.24666,179,352
2008-11-13T12:00:00,short,1.25021,stopped,2008-11-13T14:00:00,1.25396,-75,277
