start_date,end_date,data_set,minimum_profit,cut_off,moving_average_count,winners.size,losers.size,winning_percentage,cut_off_percentage
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,GBPUSD,2,-6,8,1,0,100.0,-75.0
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,USDJPY,2,-6,8,0,1,0.0,-75.0
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,EURJPY,2,-6,8,0,1,0.0,-75.0
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURGBP,2,-6,10,1,3,25.0,-60.0
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,USDCHF,2,-6,10,1,2,33.33,-60.0
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURJPY,2,-6,10,0,2,0.0,-60.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,AUDUSD,2,-6,10,1,0,100.0,-60.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURGBP,2,-6,10,1,3,25.0,-60.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURUSD,2,-6,10,0,3,0.0,-60.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCAD,2,-6,10,3,1,75.0,-60.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCHF,2,-6,10,2,1,66.67,-60.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURJPY,2,-6,10,1,2,33.33,-60.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,AUDUSD,2,-6,10,1,0,100.0,-60.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURUSD,2,-6,10,2,4,33.33,-60.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCAD,2,-6,10,3,1,75.0,-60.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCHF,2,-6,10,3,0,100.0,-60.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURJPY,2,-6,10,2,3,40.0,-60.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,AUDUSD,2,-6,10,1,0,100.0,-60.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURUSD,2,-6,10,3,2,60.0,-60.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,USDCAD,2,-6,10,1,0,100.0,-60.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,USDCHF,2,-6,10,2,0,100.0,-60.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURJPY,2,-6,10,1,3,25.0,-60.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,AUDUSD,2,-6,10,1,0,100.0,-60.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURUSD,2,-6,10,1,1,50.0,-60.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,USDCAD,2,-6,10,1,0,100.0,-60.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,USDCHF,2,-6,10,2,0,100.0,-60.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,NZDUSD,2,-6,10,0,2,0.0,-60.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,2,-6,10,2,5,28.57,-60.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,GBPUSD,2,-6,10,1,3,25.0,-60.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,USDCHF,2,-6,10,2,1,66.67,-60.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,NZDUSD,2,-6,10,1,3,25.0,-60.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,2,-6,10,2,5,28.57,-60.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,GBPUSD,2,-6,10,1,3,25.0,-60.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,USDCHF,2,-6,10,2,1,66.67,-60.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,NZDUSD,2,-6,10,1,1,50.0,-60.0
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,USDJPY,2,-6,10,0,2,0.0,-60.0
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,EURJPY,2,-6,10,0,1,0.0,-60.0
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURGBP,2,-5,6,2,1,66.67,-83.33
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,USDCHF,2,-5,6,1,0,100.0,-83.33
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURGBP,2,-5,6,2,1,66.67,-83.33
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURUSD,2,-5,6,0,2,0.0,-83.33
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCAD,2,-5,6,1,0,100.0,-83.33
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCHF,2,-5,6,2,0,100.0,-83.33
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURJPY,2,-5,6,1,0,100.0,-83.33
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURUSD,2,-5,6,1,3,25.0,-83.33
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCAD,2,-5,6,1,0,100.0,-83.33
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCHF,2,-5,6,2,0,100.0,-83.33
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURJPY,2,-5,6,1,0,100.0,-83.33
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURUSD,2,-5,6,2,2,50.0,-83.33
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURUSD,2,-5,6,1,1,50.0,-83.33
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,2,-5,6,1,1,50.0,-83.33
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,GBPUSD,2,-5,6,0,3,0.0,-83.33
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,2,-5,6,1,1,50.0,-83.33
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,GBPUSD,2,-5,6,0,3,0.0,-83.33
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,USDCAD,2,-5,6,0,1,0.0,-83.33
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,USDCHF,2,-5,6,1,0,100.0,-83.33
2008-08-02T00:00:00+00:00,2010-08-02T00:00:00+00:00,USDCAD,2,-5,6,1,1,50.0,-83.33
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,USDCAD,2,-5,6,1,0,100.0,-83.33
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURGBP,2,-5,8,3,0,100.0,-62.5
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURUSD,2,-5,8,1,0,100.0,-62.5
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,USDCHF,2,-5,8,1,2,33.33,-62.5
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURJPY,2,-5,8,1,1,50.0,-62.5
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURGBP,2,-5,8,3,0,100.0,-62.5
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURUSD,2,-5,8,1,3,25.0,-62.5
