date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-11T09:00,short,1.47222,target,2007-12-11T12:00,1.46939,28
2007-12-11T23:00,long,1.46547,target,2007-12-12T07:00,1.46702,16
2008-01-24T14:00,short,1.46645,stopped,2008-01-24T16:00,1.46895,-25
2008-01-31T08:00,short,1.48805,target,2008-01-31T10:00,1.48475,33
2008-02-21T06:00,short,1.47150,stopped,2008-02-21T08:00,1.47334,-18
2008-02-21T09:00,short,1.47212,stopped,2008-02-21T10:00,1.47469,-26
2008-02-22T15:00,short,1.48248,stopped,2008-02-22T16:00,1.48599,-35
2008-03-12T16:00,short,1.54649,stopped,2008-03-12T17:00,1.55036,-39
2008-03-14T07:00,short,1.56324,target,2008-03-14T08:00,1.56134,19
2008-03-19T00:00,long,1.56380,target,2008-03-19T01:00,1.56629,25
2008-04-30T12:00,long,1.55544,stopped,2008-04-30T15:00,1.55255,-29
2008-04-30T15:00,long,1.55588,target,2008-04-30T21:00,1.55998,41
2008-05-01T12:00,long,1.55286,stopped,2008-05-01T15:00,1.54960,-33
2008-07-01T10:00,long,1.57560,target,2008-07-01T13:00,1.57892,33
2008-07-09T17:00,short,1.57315,target,2008-07-09T18:00,1.57147,17
2008-07-22T04:00,short,1.59245,stopped,2008-07-22T06:00,1.59345,-10
2008-07-22T06:00,short,1.59249,stopped,2008-07-22T09:00,1.59371,-12
2008-07-25T09:00,short,1.57106,target,2008-07-25T11:00,1.56903,20
2008-08-13T10:00,short,1.49365,target,2008-08-13T13:00,1.48919,45
2008-08-19T01:00,long,1.46875,stopped,2008-08-19T08:00,1.46677,-20
2008-08-22T00:00,short,1.48969,target,2008-08-22T01:00,1.48850,12
2008-08-27T15:00,short,1.47209,stopped,2008-08-28T04:00,1.47760,-55
2008-08-28T16:00,short,1.47698,target,2008-08-28T17:00,1.47285,41
2008-09-08T13:00,long,1.42212,stopped,2008-09-08T18:00,1.41662,-55
2008-09-16T21:00,long,1.41527,target,2008-09-17T09:00,1.42312,78
2008-10-01T16:00,long,1.40255,target,2008-10-01T20:00,1.40760,50
2008-10-08T15:00,short,1.36419,stopped,2008-10-08T21:00,1.37434,-102
2008-10-08T21:00,short,1.36800,target,2008-10-09T03:00,1.36053,75
