date,direction,entry,target_or_stop,exit_date,exit,ticks,above_moving_average,below_moving_average,above_top_band,below_bottom_band
2007-12-04T00:00,long,1.00004,target,2007-12-04T02:00,1.00128,12,false,true,false,false
2007-12-06T20:00,long,1.01152,stopped,2007-12-06T23:00,1.00781,-37,true,false,false,false
2007-12-07T02:00,long,1.00960,target,2007-12-07T11:00,1.01309,34,true,false,false,false
2007-12-20T00:00,long,1.00231,stopped,2007-12-20T05:00,1.00110,-12,true,false,false,false
2007-12-24T04:00,long,0.99199,target,2007-12-24T08:00,0.99323,12,false,true,false,false
2007-12-28T14:00,long,0.97950,stopped,2007-12-28T15:00,0.97800,-15,false,true,false,false
2008-01-22T15:00,long,1.03615,stopped,2008-01-22T17:00,1.02515,-110,true,false,false,false
2008-02-06T02:00,short,1.00775,target,2008-02-06T04:00,1.00715,6,true,false,false,false
2008-03-12T07:00,long,0.99108,stopped,2008-03-12T11:00,0.98916,-19,false,true,false,false
2008-04-02T10:00,long,1.02178,stopped,2008-04-02T12:00,1.01953,-22,true,false,false,false
2008-04-10T17:00,short,1.01948,target,2008-04-10T19:00,1.01655,29,true,false,false,false
2008-04-28T01:00,long,1.01310,stopped,2008-04-28T02:00,1.01235,-7,true,false,false,false
2008-05-09T12:00,long,1.00891,stopped,2008-05-09T14:00,1.00730,-16,true,false,false,false
2008-05-12T15:00,long,1.00548,target,2008-05-12T16:00,1.00660,11,false,true,false,false
2008-05-23T12:00,short,0.98698,target,2008-05-23T16:00,0.98558,14,false,true,false,false
2008-05-28T01:00,short,0.99380,target,2008-05-28T05:00,0.99278,10,false,true,false,false
2008-05-30T11:00,short,0.99047,target,2008-05-30T14:00,0.98851,19,false,true,false,false
2008-06-02T16:00,short,0.99709,stopped,2008-06-02T17:00,0.99852,-14,false,true,false,false
2008-06-04T04:00,short,1.00892,stopped,2008-06-04T06:00,1.00963,-7,true,false,false,false
2008-06-09T12:00,short,1.01955,stopped,2008-06-09T15:00,1.02187,-23,true,false,false,false
2008-06-18T21:00,long,1.01826,stopped,2008-06-19T05:00,1.01671,-15,true,false,false,false
2008-06-20T15:00,long,1.01463,target,2008-06-20T16:00,1.01882,41,true,false,false,false
2008-06-27T00:00,short,1.01357,target,2008-06-27T03:00,1.01268,8,true,false,false,false
2008-07-07T06:00,short,1.01985,stopped,2008-07-07T08:00,1.02055,-7,true,false,false,false
2008-07-08T18:00,short,1.02045,target,2008-07-09T08:00,1.01771,27,true,false,false,false
2008-07-10T03:00,long,1.01147,target,2008-07-10T10:00,1.01337,19,true,false,false,false
2008-07-14T01:00,long,1.00834,target,2008-07-14T03:00,1.00979,14,true,false,false,false
2008-07-17T17:00,long,1.00025,target,2008-07-17T20:00,1.00256,23,false,true,false,false
2008-07-29T14:00,short,1.02370,stopped,2008-07-29T17:00,1.02538,-16,true,false,false,false
2008-07-31T14:00,long,1.02247,target,2008-07-31T15:00,1.02357,11,true,false,false,false
2008-08-01T12:00,short,1.02547,stopped,2008-08-01T15:00,1.02713,-16,true,false,false,false
2008-08-08T00:00,short,1.05266,stopped,2008-08-08T03:00,1.05387,-12,true,false,true,false
2008-08-12T09:00,short,1.06968,target,2008-08-12T15:00,1.06656,31,true,false,true,false
2008-08-13T10:00,long,1.06442,target,2008-08-13T12:00,1.06740,29,true,false,true,false
2008-08-19T00:00,short,1.06450,stopped,2008-08-19T01:00,1.06481,-3,true,false,true,false
2008-08-22T10:00,long,1.04323,target,2008-08-22T11:00,1.04450,12,true,false,false,false
2008-08-26T00:00,short,1.05062,stopped,2008-08-26T02:00,1.05206,-14,true,false,false,false
2008-09-11T01:00,short,1.07301,stopped,2008-09-11T03:00,1.07465,-16,true,false,false,false
2008-09-17T04:00,long,1.06732,target,2008-09-17T06:00,1.06872,14,true,false,false,false
2008-09-19T01:00,long,1.06162,target,2008-09-19T13:00,1.06559,39,true,false,false,false
2008-09-22T14:00,long,1.04914,stopped,2008-09-22T16:00,1.04311,-60,true,false,false,false
2008-09-23T14:00,long,1.03418,stopped,2008-09-23T16:00,1.03152,-26,true,false,false,false
2008-09-29T04:00,short,1.03604,stopped,2008-09-29T08:00,1.03767,-16,true,false,false,false
2008-09-30T00:00,short,1.04550,stopped,2008-09-30T01:00,1.04612,-6,true,false,false,false
2008-10-06T01:00,short,1.08314,stopped,2008-10-06T02:00,1.08491,-17,true,false,false,false
2008-10-09T00:00,short,1.12615,target,2008-10-09T05:00,1.12296,31,true,false,true,false
2008-10-20T10:00,long,1.17724,target,2008-10-20T11:00,1.18034,30,true,false,true,false
2008-10-23T11:00,short,1.25602,stopped,2008-10-23T12:00,1.26014,-41,true,false,true,false
2008-11-04T00:00,long,1.18141,target,2008-11-04T03:00,1.18441,30,true,false,false,false
2008-11-07T01:00,short,1.19733,stopped,2008-11-07T02:00,1.19889,-15,true,false,false,false
2008-11-10T13:00,long,1.17389,target,2008-11-10T16:00,1.18205,81,true,false,false,false
2008-11-11T03:00,short,1.19873,target,2008-11-11T04:00,1.19821,5,true,false,false,false
2008-11-28T04:00,short,1.23616,target,2008-11-28T05:00,1.23480,13,true,false,false,false
2008-12-01T10:00,short,1.24225,stopped,2008-12-01T12:00,1.24704,-47,true,false,false,false
2008-12-04T16:00,short,1.26284,stopped,2008-12-04T18:00,1.26801,-51,true,false,false,false
2008-12-10T09:00,long,1.25786,stopped,2008-12-11T08:00,1.24876,-91,true,false,false,false
2008-12-11T09:00,long,1.25095,target,2008-12-11T10:00,1.25371,27,true,false,false,false
2008-12-18T00:00,long,1.19167,stopped,2008-12-18T01:00,1.19072,-9,true,false,false,false
2008-12-31T01:00,long,1.21512,target,2008-12-31T04:00,1.21946,43,true,false,false,false
2009-01-06T12:00,long,1.19244,stopped,2009-01-06T15:00,1.18493,-75,true,false,false,false
2009-01-08T23:00,long,1.17980,target,2009-01-09T02:00,1.18245,26,true,false,false,false
2009-01-12T12:00,short,1.19409,stopped,2009-01-12T13:00,1.19821,-41,true,false,false,false
2009-01-14T05:00,long,1.21715,stopped,2009-01-14T07:00,1.21434,-28,true,false,false,false
2009-01-15T00:00,short,1.24789,target,2009-01-15T01:00,1.24602,18,true,false,false,false
2009-01-21T10:00,short,1.26473,stopped,2009-01-21T18:00,1.27259,-78,true,false,false,false
2009-01-22T00:00,long,1.25584,target,2009-01-22T01:00,1.25736,15,true,false,false,false
2009-02-04T08:00,long,1.23299,target,2009-02-04T09:00,1.23830,53,true,false,false,false
2009-02-09T01:00,long,1.22214,stopped,2009-02-09T02:00,1.21791,-42,false,true,false,false
2009-02-20T19:00,long,1.25487,stopped,2009-02-23T09:00,1.24223,-126,true,false,false,false
2009-03-04T17:00,long,1.28510,stopped,2009-03-04T18:00,1.28022,-48,true,false,false,false
2009-03-19T10:00,long,1.24425,stopped,2009-03-19T11:00,1.24115,-30,false,true,false,false
2009-03-24T03:00,long,1.22089,stopped,2009-03-24T04:00,1.22026,-6,false,true,false,false
2009-04-21T00:00,short,1.23860,target,2009-04-21T01:00,1.23734,12,false,true,false,false
2009-04-24T00:00,long,1.22354,target,2009-04-24T01:00,1.22505,15,false,true,false,false
2009-04-28T00:00,short,1.21943,target,2009-04-28T04:00,1.21706,23,false,true,false,false
2009-05-05T01:00,long,1.17254,target,2009-05-05T02:00,1.17318,6,false,true,false,true
2009-05-07T00:00,long,1.16733,stopped,2009-05-07T04:00,1.16535,-19,false,true,false,true
2009-05-12T01:00,short,1.16479,stopped,2009-05-12T03:00,1.16735,-25,false,true,false,true
2009-05-14T14:00,short,1.17529,stopped,2009-05-14T15:00,1.17810,-28,false,true,false,false
2009-05-18T18:00,long,1.16571,stopped,2009-05-18T19:00,1.16157,-41,false,true,false,true
2009-05-21T11:00,long,1.14383,stopped,2009-05-22T02:00,1.13483,-90,false,true,false,true
2009-05-26T19:00,long,1.12054,stopped,2009-05-26T20:00,1.11940,-11,false,true,false,true
2009-05-27T03:00,long,1.11568,target,2009-05-27T05:00,1.11695,12,false,true,false,true
2009-06-09T03:00,long,1.11479,target,2009-06-09T05:00,1.11572,9,false,true,false,false
2009-06-18T10:00,long,1.13253,stopped,2009-06-18T17:00,1.12707,-54,false,true,false,false
2009-06-23T04:00,short,1.15405,stopped,2009-06-23T05:00,1.15566,-16,false,true,false,false
2009-06-25T00:00,short,1.15555,target,2009-06-25T09:00,1.15260,29,false,true,false,false
2009-07-08T03:00,short,1.16536,target,2009-07-08T07:00,1.16241,29,false,true,false,false
2009-07-13T16:00,long,1.16501,stopped,2009-07-13T18:00,1.15963,-53,false,true,false,false
2009-07-14T09:00,long,1.15164,stopped,2009-07-14T10:00,1.14968,-19,false,true,false,false
2009-08-12T19:00,long,1.08859,target,2009-08-12T21:00,1.09227,36,false,true,false,false
2009-08-20T00:00,long,1.09512,stopped,2009-08-20T03:00,1.09387,-12,false,true,false,false
2009-08-25T16:00,long,1.07635,target,2009-08-25T17:00,1.08080,44,false,true,false,false
2009-08-26T00:00,short,1.08630,stopped,2009-08-26T02:00,1.08730,-9,false,true,false,false
2009-08-27T18:00,short,1.09620,target,2009-08-27T21:00,1.09026,59,false,true,false,false
2009-09-09T14:00,short,1.08010,target,2009-09-09T15:00,1.07649,36,false,true,false,false
2009-09-28T19:00,long,1.08703,stopped,2009-09-29T08:00,1.08331,-37,false,true,false,false
2009-10-12T02:00,long,1.04195,target,2009-10-12T03:00,1.04323,12,false,true,false,false
2009-10-14T09:00,long,1.02921,stopped,2009-10-14T13:00,1.02625,-29,false,true,false,true
2009-10-23T17:00,short,1.05073,stopped,2009-10-26T02:00,1.05458,-38,false,true,false,false
2009-10-26T02:00,short,1.05278,target,2009-10-26T03:00,1.05076,20,false,true,false,false
2009-10-30T17:00,short,1.07710,stopped,2009-11-01T19:00,1.08387,-67,false,true,false,false
2009-11-04T00:00,long,1.06678,target,2009-11-04T02:00,1.06833,15,false,true,false,false
2009-11-11T03:00,long,1.04935,stopped,2009-11-11T05:00,1.04785,-15,false,true,false,false
2009-11-12T05:00,long,1.04416,target,2009-11-12T11:00,1.04663,24,false,true,false,false
2009-11-16T07:00,long,1.04785,stopped,2009-11-16T08:00,1.04720,-6,false,true,false,false
2009-12-04T15:00,long,1.04887,target,2009-12-04T18:00,1.05414,52,false,true,false,false
2010-01-12T04:00,short,1.03422,target,2010-01-12T08:00,1.03243,17,false,true,false,false
2010-01-14T12:00,long,1.03007,target,2010-01-14T14:00,1.03117,11,false,true,false,false
2010-01-20T04:00,short,1.03440,stopped,2010-01-20T07:00,1.03613,-17,false,true,false,false
2010-01-22T00:00,short,1.05133,target,2010-01-22T03:00,1.05010,12,false,true,false,false
2010-01-25T17:00,short,1.05950,target,2010-01-25T20:00,1.05764,18,true,false,false,false
2010-01-29T01:00,short,1.06626,stopped,2010-01-29T02:00,1.06805,-17,true,false,false,false
2010-02-02T05:00,long,1.06325,stopped,2010-02-02T08:00,1.06055,-27,true,false,false,false
2010-02-05T10:00,short,1.07447,stopped,2010-02-05T12:00,1.07733,-28,true,false,false,false
2010-02-15T12:00,long,1.04940,stopped,2010-02-15T13:00,1.04829,-11,false,true,false,false
2010-02-16T10:00,long,1.04710,stopped,2010-02-16T15:00,1.04465,-24,false,true,false,false
2010-02-24T11:00,short,1.05708,target,2010-02-24T15:00,1.05466,24,false,true,false,false
2010-02-26T22:00,long,1.05260,target,2010-03-01T00:00,1.05395,13,false,true,false,false
2010-03-02T02:00,long,1.04320,stopped,2010-03-02T09:00,1.04085,-23,false,true,false,false
2010-03-04T14:00,long,1.02918,target,2010-03-04T16:00,1.03131,21,false,true,false,false
2010-03-08T15:00,long,1.02730,stopped,2010-03-08T16:00,1.02572,-15,false,true,false,true
2010-03-09T11:00,short,1.02861,stopped,2010-03-09T12:00,1.03035,-17,false,true,false,false
2010-03-16T13:00,long,1.01817,stopped,2010-03-16T14:00,1.01637,-17,false,true,false,true
2010-03-17T00:00,long,1.01412,stopped,2010-03-17T01:00,1.01352,-5,false,true,false,true
2010-03-29T13:00,long,1.02179,stopped,2010-03-29T15:00,1.02001,-17,false,true,false,false
2010-04-05T00:00,long,1.00855,stopped,2010-04-05T09:00,1.00708,-14,false,true,false,true
2010-04-06T15:00,long,1.00189,stopped,2010-04-06T16:00,0.99992,-19,false,true,false,true
2010-04-13T16:00,long,1.00423,stopped,2010-04-13T23:00,1.00068,-35,false,true,false,false
2010-04-20T04:00,long,1.01491,stopped,2010-04-20T07:00,1.01326,-16,false,true,false,false
2010-04-22T14:00,short,1.00105,target,2010-04-22T15:00,1.00025,8,false,true,false,false
2010-05-11T17:00,long,1.02286,stopped,2010-05-11T18:00,1.01975,-31,false,true,false,false
2010-05-19T01:00,short,1.04078,target,2010-05-19T02:00,1.04030,4,true,false,false,false
2010-05-21T02:00,short,1.06959,target,2010-05-21T05:00,1.06447,51,true,false,false,false
2010-06-08T15:00,long,1.05471,target,2010-06-08T17:00,1.05786,31,true,false,false,false
2010-06-10T12:00,long,1.03822,stopped,2010-06-10T15:00,1.03582,-24,true,false,false,false
2010-06-23T00:00,short,1.02865,target,2010-06-23T02:00,1.02761,10,true,false,false,false
2010-06-24T18:00,short,1.04309,target,2010-06-24T20:00,1.03912,39,true,false,false,false
2010-07-15T09:00,short,1.03560,target,2010-07-15T11:00,1.03295,26,true,false,false,false
2010-07-20T15:00,short,1.05260,target,2010-07-20T22:00,1.04651,60,true,false,false,false
2010-07-22T07:00,short,1.04940,target,2010-07-22T08:00,1.04841,9,true,false,false,false
2010-08-11T14:00,short,1.03764,stopped,2010-08-11T15:00,1.03934,-17,true,false,false,false
2010-08-13T00:00,long,1.04259,stopped,2010-08-13T01:00,1.04201,-5,true,false,false,false
